total_amount,loan_lenght,month_pay,debt_income_ratio,month_income,fico_score,open_credit_lines,tot_credit_lines,rev_credit_bal,inquiries_6_month,del_last_2yrs,public_records,employ_length,status,home_any,home_mortage,home_none,home_own,home_rent
8000,36,243.49,19.29,4883.33,770.0,8.0,43.0,1514.0,0.0,1.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,0.5,10000.0,790.0,8.0,17.0,315.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0
8000,36,243.49,20.95,3250.0,770.0,9.0,19.0,12395.0,0.0,0.0,0.0,8.0,0,0,0,0,0,1
8000,36,243.49,5.2,5325.0,770.0,9.0,12.0,4514.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
8000,36,243.49,15.55,3556.83,770.0,9.0,17.0,7249.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
8000,36,243.49,9.51,6371.67,770.0,9.0,17.0,1291.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
8000,36,243.49,7.97,4166.67,790.0,9.0,16.0,1124.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,9.49,7100.0,770.0,9.0,30.0,0.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
7125,36,243.49,23.99,3121.67,669.0,10.0,18.0,13710.0,1.0,0.0,0.0,2.0,0,0,1,0,0,0
8000,36,243.49,3.6,4416.67,770.0,10.0,32.0,13074.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,2.17,7500.0,770.0,10.0,24.0,3170.0,0.0,0.0,0.0,4.986808401639344,0,0,0,0,1,0
8000,36,243.49,4.79,6341.67,790.0,10.0,29.0,10145.0,0.0,0.0,0.0,5.0,0,0,1,0,0,0
7475,36,243.49,8.72,5666.67,695.0,12.0,23.0,11103.0,1.0,0.0,0.0,8.0,0,0,1,0,0,0
8000,36,243.49,6.07,6478.0,770.0,12.0,49.0,4182.0,0.0,0.0,0.0,4.986808401639344,0,0,1,0,0,0
8000,36,243.49,14.4,3208.0,790.0,14.0,40.0,11166.0,0.0,0.0,0.0,7.0,0,0,1,0,0,0
8000,36,243.49,3.02,6750.0,770.0,15.0,30.0,8796.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0
8000,36,243.49,27.48,2500.0,770.0,15.0,38.0,4505.0,1.0,0.0,0.0,4.0,0,0,0,0,0,1
8000,36,243.49,7.32,7200.0,790.0,17.0,53.0,7736.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,12.22,5000.0,770.0,18.0,28.0,20097.0,2.0,0.0,0.0,7.0,0,0,1,0,0,0
8000,36,243.49,16.49,4583.33,790.0,18.0,35.0,11274.0,1.0,0.0,0.0,2.0,0,0,1,0,0,0
8000,36,243.49,4.72,4766.67,790.0,18.0,47.0,7764.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
12325,60,243.53,5.05,8333.33,770.0,10.0,35.0,16160.0,1.0,0.0,0.0,6.0,0,0,1,0,0,0
7000,36,243.59,9.77,4166.67,695.0,3.0,9.0,2642.0,2.0,0.0,0.0,4.0,0,0,0,0,0,1
